GrammyAward,GrammyYear,Genre,Name,Artist
Best R&B Performance By A Duo Or Group With Vocals,2010,R&B,Soldier of Love,Sade
Best Urban/Alternative Performance,2010,R&B,Fuck you,Cee Lo Green
Best R&B Song,2010,R&B,Shine,John Legend & the Roots
Best Rap Solo Performance,2010,Rap,Not Afraid,Eminem
Best Rap Performance By A Duo Or Group,2010,Rap,On to the Next One,Jay-z & Swizz Beatz
Best Rap Song,2010,Rap,Empire State of Mind,"Burt Keyes & Sylvia Robinson, Songwriters"
Best Female Country Vocal Performance,2010,Country,The House that Built Me,Miranda Lambert
Best Male Country Vocal Performance,2010,Country,'Til Summer Comes Around,Keith Urban
Best Country Song,2010,Country,Need you Now,Lady Antebellum
Best Improvised Jazz Solo,2010,Jazz,a Change is Gonna Come,"Herbie Hancock, Soloist"
Record Of The Year,2009,General,Use Somebody,Kings of Leon
Song Of The Year,2009,General,Single Ladies (Put a Ring on it),beyoncÃ©
Best Female Pop Vocal Performance,2009,Pop,Halo,beyoncÃ©
Best Male Pop Vocal Performance,2009,Pop,Make it Mine,Jason Mraz
Best Pop Performance By A Duo Or Group With Vocals,2009,Pop,i Gotta Feeling,The Black Eyed Peas
Best Pop Collaboration With Vocals,2009,Pop,Lucky,Jason Mraz & Colbie Caillat
Best Dance Recording,2009,Dance/Electronic Music,Poker Face,Lady Gaga
Best Hard Rock Performance,2009,Rock,War Machine,Ac/Dc
Best Metal Performance,2009,Rock,Dissident Aggressor,Judas Priest
Best Rock Song,2009,Rock,Use Somebody,Kings of Leon
Best Female R&B Vocal Performance,2009,R&B,Single Ladies (Put a Ring on it),beyoncÃ©
Best Male R&B Vocal Performance,2009,R&B,Pretty Wings,Maxwell
Best R&B Performance By A Duo Or Group With Vocals,2009,R&B,Blame it,Jamie Foxx & t-Pain
Best Urban/Alternative Performance,2009,R&B,Pearls,IndiaarieÂ & Dobet Gnahore
Best R&B Song,2009,R&B,Single Ladies (Put a Ring on it),beyoncÃ©
Best Rap Solo Performance,2009,Rap,D.o.a. (Death of Auto-Tune),Jay-z
Best Rap Performance By A Duo Or Group,2009,Rap,Crack a Bottle,"Eminem, Dr Dre & 50 Cent"
Best Rap Song,2009,Rap,Run this Town,"Jay-z), Robyn Fenty, Kanye West & Ernest Wilson, Songwriters (Athanasios Alatas, Songwriter) (Jay-Z, Rihanna & Kanye West"
Best Female Country Vocal Performance,2009,Country,White Horse,Taylor Swift
Best Male Country Vocal Performance,2009,Country,Sweet Thing,Keith Urban
Best Country Song,2009,Country,White Horse,Taylor Swift
Best Improvised Jazz Solo,2009,Jazz,Dancin' 4 Chicken,"Terence Blanchard, Soloist"
Record Of The Year,2008,General,Please Read the Letter,Alison Krauss
Song Of The Year,2008,General,Viva La Vida,Coldplay
Best Female Pop Vocal Performance,2008,Pop,Chasing Pavements,Adele
Best Male Pop Vocal Performance,2008,Pop,Say,John Mayer
Best Pop Performance By A Duo Or Group With Vocals,2008,Pop,Viva La Vida,Coldplay
Best Pop Collaboration With Vocals,2008,Pop,Rich Woman,Alison Krauss
Best Dance Recording,2008,Dance/Electronic Music,Harder Better Faster Stronger,Daft Punk
Best Hard Rock Performance,2008,Rock,Wax Simulacra,The Mars Volta
Best Metal Performance,2008,Rock,My Apocalypse,Metallica
Best Rock Song,2008,Rock,Girls in their Summer Clothes,Bruce Springsteen
Best Female R&B Vocal Performance,2008,R&B,Superwoman,Alicia Keyss
Best Male R&B Vocal Performance,2008,R&B,Miss Independent,Ne-Yo
Best R&B Performance By A Duo Or Group With Vocals,2008,R&B,Stay with Me (by the Sea),John Legend
Best Urban/Alternative Performance,2008,R&B,Be Ok,Willi.am
Best R&B Song,2008,R&B,Miss Independent,Ne-Yo
Best Rap Solo Performance,2008,Rap,a Milli,Lil Wayne
Best Rap Performance By A Duo Or Group,2008,Rap,Swagga Like Us,Jay-z & Ti. Featuring Kanye West & Lil Wayne
Best Rap Song,2008,Rap,Lollipop,Lil Wayne Featuring Static Major
Best Female Country Vocal Performance,2008,Country,Last Name,Carrie Underwood
Best Male Country Vocal Performance,2008,Country,Letter to Me,Brad Paisley
Best Country Song,2008,Country,Stay,Sugarland
Record Of The Year,2007,General,Rehab,Amy Winehouse
Song Of The Year,2007,General,Rehab,Amy Winehouse
Best Female Pop Vocal Performance,2007,Pop,Rehab,Amy Winehouse
Best Male Pop Vocal Performance,2007,Pop,What Goes Around...comes Around,Justin Timberlake
Best Pop Performance By A Duo Or Group With Vocals,2007,Pop,Makes Me Wonder,Maroon 5
Best Pop Collaboration With Vocals,2007,Pop,Gone Gone Gone (Done Moved on),Alison Krauss
Best Dance Recording,2007,Dance/Electronic Music,Lovestoned/i Think She Knows,Justin Timberlake
Best Hard Rock Performance,2007,Rock,The Pretender,Foo Fighters
Best Metal Performance,2007,Rock,Final Six,Slayer
Best Rock Song,2007,Rock,Radio Nowhere,Bruce Springsteen
Best Female R&B Vocal Performance,2007,R&B,No One,Alicia Keys
Best Male R&B Vocal Performance,2007,R&B,Future Baby Mama,Prince
Best R&B Performance By A Duo Or Group With Vocals,2007,R&B,Disrespectful,Mary j Blige
Best Urban/Alternative Performance,2007,R&B,Daydreamin',Lupe Fiasco Featuring Jill Scott
Best R&B Song,2007,R&B,No One,Alicia Keys
Best Rap Solo Performance,2007,Rap,Stronger,Kanye West
Best Rap Performance By A Duo Or Group,2007,Rap,Southside,Common Featuring Kanye West
Best Rap Song,2007,Rap,Good Life,Kanye West Featuring t-Pain
Best Female Country Vocal Performance,2007,Country,Before He Cheats,Carrie Underwood
Best Male Country Vocal Performance,2007,Country,Stupid Boy,Keith Urban
Best Country Song,2007,Country,Before He Cheats,Carrie Underwood
Record Of The Year,2006,General,Not Ready to Make Nice,Dixie Chicks
Song Of The Year,2006,General,Not Ready to Make Nice,Dixie Chicks
Best Female Pop Vocal Performance,2006,Pop,Ain't No Other Man,Christina Aguilera
Best Male Pop Vocal Performance,2006,Pop,Waiting on the World to Change,John Mayer
Best Pop Performance By A Duo Or Group With Vocal,2006,Pop,My Humps,The Black Eyed Peas
Best Pop Collaboration With Vocals,2006,Pop,For Once in My Life,Tony Bennett & Stevie Wonder
Best Dance Recording,2006,Dance/Electronic Music,Sexy Back,Justin timberlakeÂ & Timbaland
Best Rock Performance By A Duo Or Group With Vocal,2006,Rock,Dani California,Red Hot Chili Peppers
Best Hard Rock Performance,2006,Rock,Woman,Wolfmother
Best Metal Performance,2006,Rock,Eyes of the Insane,Slayer
Best Rock Song,2006,Rock,Dani California,Red Hot Chili Peppers
Best Female R&B Vocal Performance,2006,R&B,Be without you,Mary j Blige
Best Male R&B Vocal Performance,2006,R&B,Heaven,John Legend
Best R&B Performance By A Duo Or Group With Vocals,2006,R&B,Family Affair,"John Legend, Joss Stone with Van Hunt"
Best Urban/Alternative Performance,2006,R&B,Crazy,Gnarls Barkley
Best R&B Song,2006,R&B,Be without you,Mary j Blige
Best Rap Solo Performance,2006,Rap,What you Know,Ti.
Best Rap Performance By A Duo Or Group,2006,Rap,Ridin,Chamillionaire Featuring Krayzie Bone
Best Rap Song,2006,Rap,Money Maker,Ludacris Featuring Pharrell
